uid	streams-0-level	tag
10006519	2	good
10006560	5	good
10006578	2	good
10006579	2	bad
10006627	2	good
10006652	2	good
10006659	2	bad
10006684	5	good
10006689	2	bad
10006709	2	bad
10006738	2	good
10006739	2	bad
10006750	2	good
10006752	2	good
10006754	2	good
10006775	5	good
10006780	2	good
10006822	2	good
10006835	5	good
10006858	2	bad
10006908	2	good
10006968	2	good
10006973	2	good
10006974	2	good
10006977	2	bad
10007015	5	good
10007024	2	good
10007039	2	good
10007089	2	good
10007093	2	good
10007116	2	good
10007122	4	bad
10007127	2	good
10007129	2	bad
10007136	2	good
10007160	2	good
10007177	2	good
10007180	2	good
10007183	2	good
10007198	2	good
10007246	2	good
10007256	2	good
10007260	2	bad
10007265	2	good
10007283	5	good
10007305	2	good
10007311	2	good
10007331	2	bad
10007346	5	good
10007367	2	good
10007390	2	good
10007398	2	bad
10007419	2	good
10007450	2	bad
10007455	2	good
10007480	2	good
10007532	2	good
10007533	2	good
10007550	2	good
10007558	2	good
10007600	2	good
10007619	5	good
10007640	5	bad
10007641	5	good
10007645	2	good
10007648	2	good
10007689	2	good
10007692	2	good
10007709	5	good
10007723	2	good
10007750	2	good
10007799	5	bad
10007808	2	bad
10007816	5	good
10007861	2	good
10007919	2	bad
10007945	2	good
10008027	5	good
10008056	2	good
10008086	2	bad
10008093	2	bad
10008122	2	bad
10008129	5	bad
10008173	2	bad
10008183	2	bad
10008193	5	bad
10008246	2	good
10008247	2	bad
10008279	2	good
10008321	2	bad
10008346	2	bad
10008379	5	good
10008387	5	good
10008390	2	bad
10008460	2	bad
10008481	2	good
10008488	2	good
10008504	5	good
10008510	5	good
10008517	5	bad
10008555	2	bad
10008558	2	good
10008621	2	good
10008735	2	good
10008755	2	good
10008763	2	good
10008770	2	good
10008786	2	bad
10008798	5	good
10008840	5	good
10008850	2	good
10008884	2	good
10008895	2	bad
10008903	2	bad
10008924	2	good
10008941	2	good
10008961	2	good
10008965	2	bad
10008978	2	good
10009007	5	bad
10009010	2	good
10009036	2	good
10009050	2	good
10009064	2	good
10009100	2	bad
10009138	2	good
10009197	2	good
10009202	2	good
10009224	2	good
10009236	2	good
10009261	2	good
10009273	2	good
10009276	2	bad
10009277	2	good
10009288	2	good
10009320	5	bad
10009336	5	good
10009350	2	bad
10009351	2	good
10009391	2	good
10009424	2	good
10009425	2	good
10009426	5	good
10009453	2	good
10009460	2	good
10009464	2	good
10009481	2	good
10009516	5	good
10009532	2	bad
10009559	2	good
10009592	2	good
10009624	2	good
10009637	2	good
10009683	2	good
10009715	2	bad
10009744	2	good
10009759	2	bad
10009768	2	bad
10009778	2	good
10009787	2	good
10009831	5	bad
10009848	2	bad
10009852	5	good
10009860	2	good
10009905	2	bad
10009910	2	bad
10009914	2	bad
10009915	2	good
10009937	2	bad
10009950	2	good
10009972	2	bad
10009994	2	good
10010004	2	good
10010023	2	bad
10010077	2	good
10010092	2	bad
10010119	5	bad
10010124	2	bad
10010138	2	good
10010139	5	good
10010158	2	good
10010179	2	good
10010182	2	bad
10010185	2	bad
10010192	2	good
10010209	2	bad
10010225	2	good
10010250	2	good
10010259	2	good
10010280	2	bad
10010293	2	good
10010306	2	good
10010312	2	good
10010314	2	bad
10010325	2	bad
10010332	2	bad
10010335	2	good
10010366	2	good
10010377	2	good
10010381	2	bad
10010389	2	bad
10010392	2	good
10010491	2	bad
10010504	2	good
10010557	2	good
10010594	2	bad
10010662	2	good
10010682	2	good
10010689	2	good
10010694	2	bad
10010696	2	good
10010737	2	good
10010754	5	bad
10010758	2	bad
10010765	2	bad
10010777	2	good
10010786	5	bad
10010789	2	good
10010790	2	bad
10010820	2	bad
10010834	2	good
10010888	2	good
10010910	2	good
10010913	5	bad
10010943	2	good
10010959	5	bad
10010970	2	bad
10010999	2	good
10011003	2	good
10011041	2	good
10011059	2	bad
10011064	2	good
10011080	2	bad
10011082	2	good
10011087	5	good
10011174	2	good
10011209	2	good
10011230	2	good
10011234	5	bad
10011246	2	bad
10011247	2	bad
10011278	2	good
10011295	2	good
10011296	2	good
10011311	2	good
10011337	5	bad
10011351	2	bad
10011365	2	bad
10011367	2	good
10011370	2	bad
10011452	2	bad
10011500	2	bad
10011521	2	good
10011526	2	good
10011535	2	bad
10011603	2	bad
10011629	2	good
10011645	2	good
10011651	2	bad
10011672	2	good
10011681	2	good
10011682	2	good
10011685	2	good
10011688	2	bad
10011691	2	bad
10011724	2	bad
10011730	2	bad
10011743	5	bad
10011751	2	bad
10011762	2	good
10011797	2	bad
10011806	2	good
10011824	2	good
10011849	2	bad
10011928	5	bad
10011972	2	good
10011985	5	good
10012001	2	good
10012044	2	good
10012051	5	good
10012081	2	bad
10012097	2	good
10012107	2	good
10012110	2	good
10012147	2	bad
10012148	2	bad
10012172	2	good
10012180	5	good
10012186	5	bad
10012194	5	bad
10012204	5	bad
10012215	2	good
10012245	2	bad
10012262	2	good
10012284	2	bad
10012343	2	good
10012369	2	good
10012377	2	bad
10012391	2	good
10012442	5	bad
10012455	2	bad
10012465	2	good
10012523	5	bad
10012573	2	good
10012581	5	bad
10012624	2	good
10012635	2	bad
10012638	2	good
10012675	2	good
10012680	2	bad
10012688	5	good
10012702	2	good
10012787	2	good
10012801	2	bad
10012810	5	bad
10012812	5	good
10012814	2	good
10012817	2	good
10012819	2	bad
10012844	2	bad
10012869	5	good
10012887	5	good
10012899	2	bad
10012927	2	good
10012941	2	good
10012947	2	good
10012952	2	good
10012956	2	good
10012982	5	bad
10012983	2	good
10013007	2	good
10013019	2	bad
10013026	2	good
10013047	5	good
10013098	2	bad
10013169	2	good
10013174	2	good
10013181	5	bad
10013182	2	bad
10013229	2	good
10013261	2	good
10013308	5	good
10013334	5	good
10013335	2	bad
10013338	2	bad
10013371	2	good
10013389	2	good
10013393	2	good
10013401	2	bad
10013404	2	good
10013408	2	good
10013426	5	bad
10013449	2	good
10013462	5	good
10013464	2	good
10013487	2	bad
10013488	2	bad
10013494	2	good
10013514	2	good
10013515	2	good
10013523	2	good
10013539	2	bad
10013577	2	good
10013597	2	good
10013602	2	good
10013633	2	good
10013668	5	good
10013681	2	bad
10013695	2	good
10013718	2	good
10013723	5	good
10013739	5	good
10013804	2	good
10013820	2	bad
10013860	2	good
10013876	2	bad
10013882	2	good
10013890	2	good
10013969	2	good
10013989	2	bad
10013997	2	bad
10014028	2	bad
10014034	2	bad
10014042	5	good
10014054	2	good
10014067	2	bad
10014105	2	good
10014113	2	good
10014118	2	bad
10014226	2	good
10014231	2	good
10014238	2	good
10014256	2	good
10014258	2	good
10014266	2	bad
10014273	2	good
10014279	5	bad
10014301	2	good
10014322	2	good
10014371	2	bad
10014391	2	bad
10014399	2	good
10014439	2	good
10014456	5	good
10014460	2	good
10014472	2	good
10014508	2	bad
10014548	5	bad
10014567	5	good
10014588	2	good
10014601	2	good
10014606	2	good
10014609	2	good
10014610	2	good
10014623	2	bad
10014632	5	good
10014656	2	good
10014659	2	good
10014674	2	good
10014692	2	good
10014704	2	good
10014706	2	good
10014726	5	bad
10014732	5	good
10014734	2	good
10014754	2	good
10014773	2	good
10014778	2	good
10014805	2	good
10014834	2	good
10014850	2	good
10014879	2	bad
10014901	2	bad
10014968	2	good
10014972	2	good
10014973	2	good
10014986	2	good
10015021	2	good
10015052	2	good
10015068	2	good
10015069	2	good
10015078	2	bad
10015085	2	bad
10015129	5	good
10015158	2	good
10015172	2	good
10015223	2	good
10015226	2	good
10015230	2	good
10015248	2	good
10015253	2	bad
10015267	2	good
10015304	5	good
10015335	2	bad
10015352	2	good
10015363	2	good
10015397	2	bad
10015399	2	bad
10015413	2	good
10015415	5	bad
10015440	2	bad
10015448	5	bad
10015451	5	good
10015461	2	bad
10015468	5	good
10015473	5	bad
10015479	2	good
10015483	2	good
10015485	2	good
10015489	2	good
10015502	5	good
10015517	2	bad
10015554	2	good
10015570	2	good
10015589	2	good
10015598	5	good
10015625	2	good
10015644	2	good
10015652	2	bad
10015680	5	bad
10015697	2	good
10015713	2	bad
10015740	2	good
10015746	2	good
10015747	2	good
10015769	2	bad
10015782	2	good
10015783	5	bad
10015842	2	good
10015886	5	good
10015925	2	good
10015930	2	bad
10015967	2	bad
10015991	5	good
10016010	2	good
10016024	2	good
10016056	2	good
10016063	2	good
10016064	2	bad
10016096	5	bad
10016117	2	good
10016139	2	good
10016198	5	good
10016225	2	good
10016249	2	good
10016253	2	good
10016270	2	good
10016279	5	good
10016307	2	good
10016340	2	good
10016369	2	good
10016377	2	bad
10016386	2	good
10016394	2	good
10016397	2	good
10016429	5	bad
10016442	5	good
10016464	2	bad
10016495	2	good
10016513	5	bad
10016531	2	good
10016532	2	bad
10016554	3	good
10016569	2	good
10016574	2	good
10016581	2	good
10016585	2	good
10016647	2	good
10016678	5	good
10016685	2	bad
10016689	2	good
10016734	2	good
10016735	2	good
10016737	2	good
10016744	2	good
10016747	2	good
10016753	2	bad
10016765	5	good
10016782	2	good
10016783	2	good
10016784	2	bad
10016790	2	bad
10016795	5	good
10016801	2	bad
10016804	5	bad
10016824	2	good
10016833	5	good
10016862	2	bad
10016874	2	good
10016877	5	bad
10016890	2	good
10016912	5	bad
10016914	2	good
10016920	2	good
10016941	5	good
10016975	2	good
10016976	2	good
10016977	2	good
10017008	2	bad
10017015	2	good
10017025	2	bad
10017062	2	bad
10017094	2	bad
10017124	2	good
10017129	5	good
10017131	2	good
10017145	5	bad
10017149	5	good
10017177	2	good
10017181	2	good
10017185	2	good
10017191	2	bad
10017220	2	bad
10017230	2	good
10017235	2	good
10017241	2	good
10017285	2	good
10017303	2	good
10017304	5	good
10017308	2	good
10017320	2	good
10017325	5	good
10017346	2	good
10017373	2	good
10017374	5	good
10017383	2	bad
10017388	2	good
10017395	5	bad
10017400	2	bad
10017435	2	good
10017444	2	bad
10017493	2	good
10017516	2	good
10017520	2	bad
10017526	2	good
10017539	2	good
10017547	2	good
10017560	5	bad
10017575	5	good
10017593	2	bad
10017613	2	good
10017622	2	good
10017675	2	bad
10017683	2	good
10017690	2	good
10017724	2	good
10017737	2	good
10017754	5	good
10017779	2	good
10017802	2	good
10017814	2	good
10017862	2	bad
10017869	2	bad
10017889	5	bad
10017895	2	bad
10017896	5	good
10017899	2	good
10017938	2	good
10017980	2	good
10018008	2	good
10018020	2	good
10018075	2	good
10018081	2	good
10018131	2	good
10018139	2	good
10018141	2	good
10018168	2	good
10018182	5	bad
10018190	2	good
10018248	5	good
10018263	2	good
10018267	2	bad
10018283	2	good
10018291	2	good
10018350	2	good
10018367	2	good
10018399	2	good
10018434	2	good
10018450	5	good
10018475	2	good
10018507	2	bad
10018525	2	bad
10018530	2	good
10018569	2	good
10018588	2	good
10018607	2	good
10018621	2	good
10018693	2	good
10018731	2	good
10018751	5	good
10018784	2	bad
10018827	2	bad
10018844	2	good
10018853	5	good
10018871	2	bad
10018910	2	good
10018922	2	good
10018954	2	good
10018956	2	good
10018958	2	good
10019010	2	good
10019025	2	bad
10019051	5	good
10019063	2	bad
10019065	5	good
10019138	2	bad
10019155	2	good
10019167	2	bad
10019169	2	good
10019174	2	good
10019182	5	good
10019188	5	good
10019205	2	good
10019212	2	bad
10019214	2	good
10019239	2	good
10019278	2	good
10019281	2	bad
10019307	2	good
10019354	2	good
10019361	2	good
10019375	2	good
10019378	2	bad
10019425	5	bad
10019427	2	good
10019438	2	good
10019444	2	bad
10019457	2	bad
10019458	2	bad
10019463	2	good
10019466	2	good
10019471	2	bad
10019477	5	bad
10019512	5	bad
10019535	5	good
10019546	5	bad
10019548	2	good
10019568	2	good
10019572	5	good
10019584	2	good
10019605	2	good
10019645	2	bad
10019662	2	good
10019671	2	good
10019693	5	bad
10019714	5	bad
10019720	2	good
10019727	2	good
10019729	2	bad
10019730	2	bad
10019736	2	bad
10019773	2	good
10019783	2	good
10019796	5	good
10019798	5	good
10019819	2	good
10019854	2	good
10019857	5	good
10019872	2	good
10019877	2	good
10019885	2	bad
10019898	2	bad
10019909	2	good
10019922	2	bad
10019926	2	good
10019931	2	good
10019949	2	good
10019951	2	good
10019965	2	good
10019998	2	good
10020004	2	bad
10020009	2	good
10020027	5	good
10020032	2	good
10020045	5	good
10020065	2	good
10020079	5	bad
10020083	2	good
10020092	2	good
10020093	2	good
10020096	2	good
10020107	2	good
10020133	2	bad
10020138	5	good
10020168	2	bad
10020183	2	bad
10020190	2	good
10020198	2	good
10020274	2	bad
10020292	2	bad
10020294	2	good
10020301	5	bad
10020335	2	good
10020336	2	bad
10020343	2	good
10020351	2	good
10020354	2	good
10020368	2	good
10020371	2	good
10020376	2	good
10020378	2	good
10020391	2	good
10020406	2	bad
10020413	2	bad
10020440	2	good
10020444	2	good
10020503	2	bad
10020519	2	good
10020548	5	bad
10020591	2	good
10020596	2	bad
10020602	5	good
10020610	2	bad
10020629	2	good
10020647	5	good
10020653	2	good
10020655	2	bad
10020687	2	good
10020692	2	bad
10020697	2	bad
10020701	2	good
10020773	2	good
10020779	2	good
10020784	5	bad
10020790	2	good
10020797	2	good
10020809	5	bad
10020818	2	good
10020849	2	good
10020864	2	bad
10020934	5	good
10020938	2	good
10020942	2	good
10020951	2	good
