uid	streams-0-profile	streams-0-side_data_list-0-displaymatrix	streams-0-color_space	streams-0-tags-rotate	streams-1-codec_time_base	format-tags-compatible_brands	streams-1-sample_rate	streams-0-tags-encoder	format-tags-major_brand	streams-0-color_primaries	streams-1-time_base	streams-0-width	streams-0-coded_width	streams-0-display_aspect_ratio	streams-0-side_data_list-0-rotation	tag
10001407	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10001417	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001442	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001444	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001448	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001475	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001499	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001503	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001507	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001536	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001545	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001574	0	0	-1	2	2	0	2	-1	0	-1	2	1	1	2	1	bad
10001595	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001618	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001647	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001650	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001666	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001722	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	bad
10001723	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001724	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001733	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001735	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001748	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10001757	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001771	0	0	-1	2	2	1	2	-1	1	-1	2	1	1	2	1	bad
10001790	2	1	-1	1	0	0	0	-1	0	-1	0	1	1	2	2	good
10001792	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001800	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001816	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001820	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10001822	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10001831	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001860	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	bad
10001874	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001900	0	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10001939	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001944	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10002041	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002056	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002110	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002129	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002131	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002160	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10002169	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002182	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002184	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002225	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002227	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002243	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002262	0	2	-1	0	2	1	2	-1	1	-1	2	1	1	2	0	bad
10002263	0	-1	-1	-1	2	1	2	-1	1	-1	2	1	1	0	-1	good
10002281	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10002307	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002342	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10002378	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10002385	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002403	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10002413	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10002424	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002425	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10002437	0	-1	-1	-1	2	0	2	-1	0	-1	2	1	1	2	-1	good
10002442	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002446	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002480	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10002485	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002521	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002527	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10002547	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002550	0	1	1	1	2	1	2	-1	1	1	2	1	1	2	2	good
10002576	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002601	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002603	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002606	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002612	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002630	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002634	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10002636	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10002638	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002649	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10002656	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002670	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10002772	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002778	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002788	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10002815	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10002819	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002852	2	2	-1	0	2	1	2	-1	1	-1	2	1	1	2	0	bad
10002865	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10002880	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002924	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10002953	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002960	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10002963	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10002965	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10002967	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10002997	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	2	2	good
10003029	0	1	-1	1	0	1	0	-1	1	-1	0	1	1	2	2	good
10003046	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003106	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003119	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003143	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003144	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	bad
10003159	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10003160	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003171	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10003199	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003226	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10003290	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10003319	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	bad
10003335	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003346	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003370	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10003381	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003411	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003412	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10003455	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003465	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003497	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003530	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003559	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003598	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003619	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003624	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003642	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003658	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003701	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003727	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003728	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003740	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003741	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003754	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10003819	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10003824	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003856	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10003864	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10003885	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10003905	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10003942	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10003969	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10003994	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	bad
10004006	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004015	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004022	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004046	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004074	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10004098	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004100	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004110	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004112	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10004122	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004125	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004150	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004169	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10004172	0	0	-1	2	2	0	2	-1	0	-1	2	1	1	2	1	bad
10004174	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10004185	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10004198	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004250	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004252	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004285	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004298	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004301	0	1	-1	1	2	0	2	0	0	-1	2	1	1	0	2	good
10004333	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004342	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004352	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004378	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	2	2	bad
10004427	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004466	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004476	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004479	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10004487	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004488	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004507	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004514	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004517	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004522	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004528	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10004543	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004550	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004570	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004577	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004588	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004610	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004628	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004652	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10004661	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004691	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004699	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004713	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004720	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004741	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004785	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004789	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004797	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004810	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004849	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004888	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10004894	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	bad
10004895	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004914	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004925	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004928	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004948	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10004950	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10004951	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10004972	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10004978	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005043	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005050	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005082	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005087	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10005094	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005128	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005145	0	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10005154	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10005157	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10005159	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005172	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10005173	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005181	2	1	-1	1	0	0	0	-1	0	-1	0	1	1	2	2	good
10005224	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005237	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10005243	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005244	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005246	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10005267	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005272	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005279	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	bad
10005283	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10005301	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005317	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005425	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005438	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005448	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005461	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005470	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10005471	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005475	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10005492	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10005538	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005565	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005575	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005585	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005603	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005611	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005616	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005647	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005656	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005673	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10005697	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005720	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10005736	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10005750	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005751	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10005755	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005783	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	bad
10005785	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005788	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10005796	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10005824	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005850	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005855	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10005901	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005905	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10005928	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005954	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10005975	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10005978	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005982	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10005997	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10006030	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10006037	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10006039	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10006040	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10006051	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10006074	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
