uid	streams-1-max_bit_rate	tag
10006511	5	good
10006519	5	good
10006560	0	good
10006578	5	good
10006579	5	bad
10006627	5	good
10006652	5	good
10006659	4	bad
10006684	1	good
10006689	5	bad
10006709	5	bad
10006738	5	good
10006739	5	bad
10006750	5	good
10006752	5	good
10006754	1	good
10006775	0	good
10006780	5	good
10006822	5	good
10006835	0	good
10006858	5	bad
10006908	5	good
10006968	5	good
10006973	5	good
10006974	5	good
10006977	4	bad
10007015	0	good
10007024	4	good
10007039	5	good
10007089	5	good
10007093	5	good
10007116	5	good
10007122	5	bad
10007127	5	good
10007129	5	bad
10007136	5	good
10007160	5	good
10007177	5	good
10007180	5	good
10007183	5	good
10007198	5	good
10007246	5	good
10007256	5	good
10007260	5	bad
10007265	5	good
10007283	0	good
10007305	4	good
10007311	5	good
10007331	5	bad
10007346	0	good
10007367	5	good
10007390	5	good
10007398	5	bad
10007419	5	good
10007450	5	bad
10007455	4	good
10007480	5	good
10007532	5	good
10007533	5	good
10007550	5	good
10007558	5	good
10007600	5	good
10007619	1	good
10007640	0	bad
10007641	1	good
10007645	5	good
10007648	5	good
10007689	5	good
10007692	5	good
10007709	0	good
10007723	5	good
10007750	5	good
10007799	0	bad
10007808	4	bad
10007816	0	good
10007861	5	good
10007919	5	bad
10007945	5	good
10008027	0	good
10008056	5	good
10008086	5	bad
10008093	5	bad
10008122	5	bad
10008129	0	bad
10008173	3	bad
10008183	5	bad
10008193	0	bad
10008246	5	good
10008247	5	bad
10008279	5	good
10008321	5	bad
10008346	5	bad
10008379	0	good
10008387	5	good
10008390	5	bad
10008460	5	bad
10008481	5	good
10008488	5	good
10008504	0	good
10008510	0	good
10008517	0	bad
10008555	5	bad
10008558	5	good
10008621	5	good
10008735	5	good
10008755	5	good
10008763	5	good
10008770	5	good
10008786	5	bad
10008798	0	good
10008840	0	good
10008850	5	good
10008884	5	good
10008895	5	bad
10008903	5	bad
10008924	4	good
10008941	4	good
10008961	5	good
10008965	5	bad
10008978	5	good
10009007	0	bad
10009010	1	good
10009036	5	good
10009050	5	good
10009064	5	good
10009100	4	bad
10009138	5	good
10009197	5	good
10009202	5	good
10009224	5	good
10009236	5	good
10009261	5	good
10009273	5	good
10009276	5	bad
10009277	5	good
10009288	5	good
10009320	0	bad
10009336	0	good
10009350	5	bad
10009351	5	good
10009391	5	good
10009424	5	good
10009425	4	good
10009426	0	good
10009453	5	good
10009460	5	good
10009464	5	good
10009481	5	good
10009516	0	good
10009532	5	bad
10009559	5	good
10009592	5	good
10009624	5	good
10009637	5	good
10009683	5	good
10009715	5	bad
10009744	5	good
10009759	4	bad
10009768	5	bad
10009778	5	good
10009787	5	good
10009831	0	bad
10009848	5	bad
10009852	0	good
10009860	5	good
10009905	5	bad
10009910	5	bad
10009914	4	bad
10009915	5	good
10009937	4	bad
10009950	5	good
10009972	5	bad
10009994	5	good
10010004	5	good
10010023	5	bad
10010077	5	good
10010092	5	bad
10010119	0	bad
10010124	5	bad
10010138	5	good
10010139	1	good
10010158	5	good
10010179	5	good
10010182	5	bad
10010185	5	bad
10010192	5	good
10010209	5	bad
10010225	5	good
10010250	5	good
10010259	5	good
10010280	5	bad
10010293	4	good
10010306	4	good
10010312	5	good
10010314	5	bad
10010325	4	bad
10010332	5	bad
10010335	5	good
10010366	5	good
10010377	5	good
10010381	5	bad
10010389	5	bad
10010392	5	good
10010491	5	bad
10010504	5	good
10010557	5	good
10010594	5	bad
10010662	5	good
10010682	5	good
10010689	4	good
10010694	5	bad
10010696	3	good
10010737	5	good
10010754	0	bad
10010758	5	bad
10010765	5	bad
10010777	4	good
10010786	0	bad
10010789	5	good
10010790	5	bad
10010820	5	bad
10010834	5	good
10010888	5	good
10010910	5	good
10010913	0	bad
10010943	3	good
10010959	0	bad
10010970	5	bad
10010999	5	good
10011003	5	good
10011041	5	good
10011059	3	bad
10011064	4	good
10011080	5	bad
10011082	5	good
10011087	0	good
10011174	5	good
10011209	5	good
10011230	4	good
10011234	1	bad
10011246	4	bad
10011247	3	bad
10011278	5	good
10011295	5	good
10011296	5	good
10011311	5	good
10011337	0	bad
10011351	5	bad
10011365	5	bad
10011367	5	good
10011370	5	bad
10011452	5	bad
10011500	4	bad
10011521	1	good
10011526	5	good
10011535	5	bad
10011603	5	bad
10011629	5	good
10011645	5	good
10011651	5	bad
10011672	5	good
10011681	5	good
10011682	5	good
10011685	5	good
10011688	5	bad
10011691	4	bad
10011724	5	bad
10011730	5	bad
10011743	0	bad
10011751	4	bad
10011762	5	good
10011797	0	bad
10011806	5	good
10011824	5	good
10011849	5	bad
10011928	1	bad
10011972	5	good
10011985	0	good
10012001	5	good
10012044	5	good
10012051	0	good
10012081	5	bad
10012097	5	good
10012107	5	good
10012110	4	good
10012147	5	bad
10012148	5	bad
10012172	5	good
10012180	0	good
10012186	0	bad
10012194	0	bad
10012204	0	bad
10012215	5	good
10012245	5	bad
10012262	5	good
10012284	5	bad
10012343	5	good
10012369	5	good
10012377	5	bad
10012391	5	good
10012442	0	bad
10012455	3	bad
10012465	5	good
10012523	0	bad
10012573	5	good
10012581	0	bad
10012624	5	good
10012635	5	bad
10012638	4	good
10012675	4	good
10012680	5	bad
10012688	0	good
10012702	5	good
10012787	5	good
10012801	5	bad
10012810	0	bad
10012812	0	good
10012814	5	good
10012817	5	good
10012819	5	bad
10012844	5	bad
10012869	1	good
10012887	0	good
10012899	5	bad
10012927	5	good
10012941	5	good
10012947	5	good
10012952	5	good
10012956	5	good
10012982	0	bad
10012983	5	good
10013007	5	good
10013019	5	bad
10013026	5	good
10013047	0	good
10013098	1	bad
10013169	5	good
10013174	5	good
10013181	0	bad
10013182	0	bad
10013229	3	good
10013261	5	good
10013308	0	good
10013334	0	good
10013335	3	bad
10013338	5	bad
10013371	4	good
10013389	4	good
10013393	5	good
10013401	5	bad
10013404	4	good
10013408	5	good
10013426	0	bad
10013449	5	good
10013462	0	good
10013464	5	good
10013487	5	bad
10013488	5	bad
10013494	5	good
10013514	5	good
10013515	5	good
10013523	4	good
10013539	4	bad
10013577	5	good
10013597	5	good
10013602	4	good
10013633	5	good
10013668	0	good
10013681	5	bad
10013695	5	good
10013718	5	good
10013723	1	good
10013739	0	good
10013804	5	good
10013820	5	bad
10013860	5	good
10013876	5	bad
10013882	1	good
10013890	5	good
10013969	0	good
10013989	5	bad
10013997	5	bad
10014028	3	bad
10014034	5	bad
10014042	0	good
10014054	5	good
10014067	5	bad
10014105	5	good
10014113	5	good
10014118	5	bad
10014226	5	good
10014231	5	good
10014238	5	good
10014256	5	good
10014258	5	good
10014266	5	bad
10014273	5	good
10014279	0	bad
10014301	5	good
10014322	5	good
10014371	5	bad
10014391	4	bad
10014399	5	good
10014439	5	good
10014456	0	good
10014460	5	good
10014472	5	good
10014508	5	bad
10014548	0	bad
10014567	0	good
10014588	5	good
10014601	5	good
10014606	5	good
10014609	5	good
10014610	4	good
10014623	5	bad
10014632	0	good
10014656	5	good
10014659	5	good
10014674	5	good
10014692	5	good
10014704	5	good
10014706	5	good
10014726	0	bad
10014732	0	good
10014734	5	good
10014754	5	good
10014773	5	good
10014778	5	good
10014805	5	good
10014834	4	good
10014850	5	good
10014879	5	bad
10014901	5	bad
10014968	5	good
10014972	4	good
10014973	5	good
10014986	5	good
10015021	3	good
10015052	4	good
10015068	5	good
10015069	5	good
10015078	5	bad
10015085	3	bad
10015129	0	good
10015158	5	good
10015172	5	good
10015223	5	good
10015226	3	good
10015230	5	good
10015248	5	good
10015253	5	bad
10015267	4	good
10015304	0	good
10015335	5	bad
10015352	5	good
10015363	4	good
10015397	5	bad
10015399	5	bad
10015413	5	good
10015415	0	bad
10015440	5	bad
10015448	0	bad
10015451	0	good
