[列]特征,实际/期望分区数,最小值,最大值,bad数量,good数量,合计,bad比例(%),bad WOE,bad IV
[17]streams-0-avg_frame_rate,10/10,5.0,34.0,3430,6568,9998,34.31,3.7112308219109416,0.046962461616621286
"[446.0, 509.0]",1,3,4,0.04,25.0,-0.44896317769583116,7.417538819649841e-05
"[510.0, 573.0]",143,401,544,5.44,26.29,-0.3814676860743833,0.007386218074370764
"[574.0, 637.0]",672,1453,2125,21.25,31.62,-0.12147821207485483,0.0030740972146338255
"[638.0, 701.0]",516,924,1440,14.4,35.83,0.06704380481215705,0.0006540272518384985
"[702.0, 765.0]",536,1106,1642,16.42,32.64,-0.07472191003919954,0.0009059271710895584
"[766.0, 829.0]",1537,2662,4199,42.0,36.6,0.10040385555581748,0.004297941629190115
合计,3430,6568,9998,100.0,34.31,0.9901612333475348,0.020498216858329605
#,#,#,#,#,#,#,#
[5]format-start_time,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-23197.0, -20878.0]",76,170,246,2.46,30.89,-0.15541598579165208,0.000579023240140594
"[-20877.0, -18558.0]",74,202,276,2.76,26.81,-0.3545534932247564,0.003255096265695408
"[-18557.0, -16238.0]",92,210,302,3.02,30.46,-0.1756698426961497,0.0009048834363373251
"[-16237.0, -13918.0]",101,213,314,3.14,32.17,-0.09652253789588722,0.0002880135351202461
"[-13917.0, -11598.0]",92,220,312,3.12,29.49,-0.2221898583310426,0.0014828016774023301
"[-11597.0, -9278.0]",75,220,295,2.95,25.42,-0.4264903218437726,0.004960017485745378
"[-9277.0, -6958.0]",71,240,311,3.11,22.83,-0.5683099353283972,0.009002651926671403
"[-6957.0, -4638.0]",96,212,308,3.08,31.17,-0.1425889722318976,0.0006116171331942808
"[-4637.0, -2318.0]",98,221,319,3.19,30.72,-0.16354611187490223,0.0008302519251697008
"[-2317.0, 2.0]",2655,4660,7315,73.16,36.3,0.08707831752862626,0.005621068156359731
合计,3430,6568,9998,100.0,34.31,-2.218208741689832,0.027535424781836397
#,#,#,#,#,#,#,#
[6]streams-1-duration,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[10265170.0, 11149011.0]",1,2,3,0.03,33.33,-0.04349806958766673,5.638006484127776e-07
"[11149012.0, 12032853.0]",5,9,14,0.14,35.71,0.06186244607015941,5.409611170611373e-06
"[12032854.0, 12916695.0]",197,451,648,6.48,30.4,-0.17861449979241134,0.0020061727565257215
"[12916696.0, 13800537.0]",615,1291,1906,19.06,32.27,-0.09190101206784605,0.0015860996021925915
"[13800538.0, 14684379.0]",361,731,1092,10.92,33.06,-0.055886390444619,0.00033807829917355145
"[14684380.0, 15568221.0]",222,413,635,6.35,34.96,0.02887889988352534,5.3206447488379365e-05
"[15568222.0, 16452063.0]",287,443,730,7.3,39.32,0.2155615566867641,0.0034975370277254753
"[16452064.0, 17335905.0]",1282,2196,3478,34.79,36.86,0.11143294582347284,0.0043918595888928
"[17335906.0, 18219747.0]",459,1020,1479,14.79,31.03,-0.14885858524549322,0.0031973595406153024
"[18219748.0, 19103589.0]",1,12,13,0.13,7.69,-1.8352575388157217,0.0028180287844373746
合计,3430,6568,9998,100.0,34.31,-1.9362802474898364,0.01789431545887022
#,#,#,#,#,#,#,#
[7]streams-0-nb_frames,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[62.0, 113.0]",60,55,115,1.15,52.17,0.7366604879619084,0.0067174428203008694
"[114.0, 165.0]",236,316,552,5.52,42.75,0.3577387024109764,0.007402546112147242
"[166.0, 217.0]",305,409,714,7.14,42.72,0.35624573153688843,0.009493828627660293
"[218.0, 269.0]",284,414,698,6.98,40.69,0.2727573753081702,0.005391307850312573
"[270.0, 321.0]",223,468,691,6.91,32.27,-0.09164741348524935,0.0005718789749266874
"[322.0, 373.0]",473,971,1444,14.44,32.76,-0.06958196882711346,0.0006914449168443957
"[374.0, 425.0]",612,1354,1966,19.66,31.13,-0.14443705998761558,0.004004572279792145
"[426.0, 477.0]",563,1200,1763,17.63,31.93,-0.10714809666412262,0.0019891056023232474
"[478.0, 529.0]",546,1078,1624,16.24,33.62,-0.030594664751758944,0.00015130399841811756
"[530.0, 581.0]",128,303,431,4.31,29.7,-0.21205343061747356,0.0018692468906848301
合计,3430,6568,9998,100.0,34.31,1.0679396628846098,0.038282678073410396
#,#,#,#,#,#,#,#
[8]streams-0-tags-creation_time,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 235.0]",308,733,1041,10.41,29.59,-0.2173968079407985,0.0047405084602119615
"[236.0, 472.0]",517,1072,1589,15.89,32.54,-0.07958935615003969,0.0009938106235742692
"[473.0, 709.0]",619,1058,1677,16.77,36.91,0.11361877123862985,0.002202207704591668
"[710.0, 946.0]",733,1255,1988,19.88,36.87,0.11190396129304579,0.002531790217402589
"[947.0, 1183.0]",420,839,1259,12.59,33.36,-0.04230688421751375,0.00022387029202324856
"[1184.0, 1420.0]",353,735,1088,10.88,32.44,-0.08375333130726122,0.0007530061044697902
"[1421.0, 1657.0]",235,472,707,7.07,33.24,-0.047744360469117945,0.00015996563993498936
"[1658.0, 1894.0]",89,177,266,2.66,33.46,-0.037864251869410816,3.7914270873808616e-05
"[1895.0, 2131.0]",64,78,142,1.42,45.07,0.45182336764235853,0.0030647770290162073
"[2132.0, 2368.0]",92,149,241,2.41,38.17,0.16749138207585987,0.0006928127510236522
合计,3430,6568,9998,100.0,34.31,0.3361824902957521,0.015400663093122186
#,#,#,#,#,#,#,#
[9]streams-0-duration,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[10324944.0, 11203782.0]",1,2,3,0.03,33.33,-0.04349806958766673,5.638006484127776e-07
"[11203783.0, 12082621.0]",7,11,18,0.18,38.89,0.19766398722922135,7.235084670139168e-05
"[12082622.0, 12961460.0]",233,524,757,7.57,30.78,-0.16080411978306294,0.001905645566773214
"[12961461.0, 13840299.0]",633,1294,1927,19.27,32.85,-0.06537394194439106,0.0008150646174567015
"[13840300.0, 14719138.0]",325,688,1013,10.13,32.08,-0.10031454463132758,0.0010029566460922025
"[14719139.0, 15597977.0]",229,403,632,6.32,36.23,0.08443455257983516,0.00045643195750211675
"[15597978.0, 16476816.0]",296,472,768,7.68,38.54,0.18302957971078362,0.0026418114497801922
"[16476817.0, 17355655.0]",1245,2147,3392,33.93,36.7,0.10471312199230548,0.0037786588088392454
"[17355656.0, 18234494.0]",460,1013,1473,14.73,31.23,-0.13979590379326415,0.0028129530379880797
"[18234495.0, 19113333.0]",1,14,15,0.15,6.67,-1.9894082186429802,0.0036605145133036944
合计,3430,6568,9998,100.0,34.31,-1.929353556870547,0.01714695124508525
#,#,#,#,#,#,#,#
[10]streams-1-tags-creation_time,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 235.0]",308,733,1041,10.41,29.59,-0.2173968079407985,0.0047405084602119615
"[236.0, 472.0]",517,1072,1589,15.89,32.54,-0.07958935615003969,0.0009938106235742692
"[473.0, 709.0]",619,1058,1677,16.77,36.91,0.11361877123862985,0.002202207704591668
"[710.0, 946.0]",733,1255,1988,19.88,36.87,0.11190396129304579,0.002531790217402589
"[947.0, 1183.0]",420,839,1259,12.59,33.36,-0.04230688421751375,0.00022387029202324856
"[1184.0, 1420.0]",353,735,1088,10.88,32.44,-0.08375333130726122,0.0007530061044697902
"[1421.0, 1657.0]",235,472,707,7.07,33.24,-0.047744360469117945,0.00015996563993498936
"[1658.0, 1894.0]",89,177,266,2.66,33.46,-0.037864251869410816,3.7914270873808616e-05
"[1895.0, 2131.0]",64,78,142,1.42,45.07,0.45182336764235853,0.0030647770290162073
"[2132.0, 2368.0]",92,149,241,2.41,38.17,0.16749138207585987,0.0006928127510236522
合计,3430,6568,9998,100.0,34.31,0.3361824902957521,0.015400663093122186
#,#,#,#,#,#,#,#
[11]streams-1-duration_ts,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[194785.0, 259553.0]",13,9,22,0.22,59.09,1.0172216261563043,0.002461268079382012
