uid	format-tags-com.android.version	tag
10006037	-1	good
10006039	-1	good
10006040	1	good
10006051	-1	good
10006074	0	good
10006097	-1	good
10006098	1	good
10006116	0	good
10006144	-1	good
10006172	-1	bad
10006208	-1	good
10006222	-1	bad
10006226	-1	good
10006228	-1	good
10006233	1	good
10006264	-1	good
10006303	-1	good
10006323	-1	bad
10006326	-1	good
10006345	-1	bad
10006347	-1	good
10006352	-1	good
10006410	-1	bad
10006437	-1	good
10006458	0	good
10006459	-1	good
10006463	-1	good
10006473	-1	good
10006500	1	good
10006503	-1	good
10006505	-1	bad
10006509	-1	good
10006511	1	good
10006519	-1	good
10006560	-1	good
10006578	-1	good
10006579	-1	bad
10006627	1	good
10006652	-1	good
10006659	-1	bad
10006684	-1	good
10006689	1	bad
10006709	-1	bad
10006738	1	good
10006739	-1	bad
10006750	-1	good
10006752	-1	good
10006754	-1	good
10006775	-1	good
10006780	0	good
10006822	-1	good
10006835	-1	good
10006858	-1	bad
10006908	1	good
10006968	-1	good
10006973	-1	good
10006974	-1	good
10006977	-1	bad
10007015	-1	good
10007024	-1	good
10007039	-1	good
10007089	-1	good
10007093	-1	good
10007116	1	good
10007122	-1	bad
10007127	-1	good
10007129	-1	bad
10007136	0	good
10007160	-1	good
10007177	-1	good
10007180	1	good
10007183	1	good
10007198	-1	good
10007246	-1	good
10007256	-1	good
10007260	0	bad
10007265	3	good
10007283	-1	good
10007305	-1	good
10007311	1	good
10007331	-1	bad
10007346	-1	good
10007367	0	good
10007390	-1	good
10007398	3	bad
10007419	1	good
10007450	-1	bad
10007455	-1	good
10007480	-1	good
10007532	-1	good
10007533	-1	good
10007550	-1	good
10007558	-1	good
10007600	-1	good
10007619	-1	good
10007640	-1	bad
10007641	-1	good
10007645	-1	good
10007648	-1	good
10007689	-1	good
10007692	-1	good
10007709	0	good
10007723	-1	good
10007750	-1	good
10007799	0	bad
10007808	-1	bad
10007816	-1	good
10007861	0	good
10007919	1	bad
10007945	-1	good
10008027	-1	good
10008056	-1	good
10008086	-1	bad
10008093	-1	bad
10008122	-1	bad
10008129	-1	bad
10008173	1	bad
10008183	-1	bad
10008193	-1	bad
10008246	-1	good
10008247	1	bad
10008279	-1	good
10008321	-1	bad
10008346	-1	bad
10008379	-1	good
10008387	-1	good
10008390	-1	bad
10008460	-1	bad
10008481	-1	good
10008488	1	good
10008504	0	good
10008510	-1	good
10008517	-1	bad
10008555	-1	bad
10008558	-1	good
10008621	-1	good
10008735	-1	good
10008755	-1	good
10008763	-1	good
10008770	-1	good
10008786	1	bad
10008798	-1	good
10008840	-1	good
10008850	-1	good
10008884	1	good
10008895	-1	bad
10008903	-1	bad
10008924	-1	good
10008941	-1	good
10008961	-1	good
10008965	1	bad
10008978	2	good
10009007	0	bad
10009010	3	good
10009036	1	good
10009050	-1	good
10009064	-1	good
10009100	-1	bad
10009138	-1	good
10009197	-1	good
10009202	-1	good
10009224	-1	good
10009236	-1	good
10009261	1	good
10009273	-1	good
10009276	1	bad
10009277	-1	good
10009288	-1	good
10009320	0	bad
10009336	0	good
10009350	-1	bad
10009351	-1	good
10009391	-1	good
10009424	0	good
10009425	-1	good
10009426	-1	good
10009453	-1	good
10009460	-1	good
10009464	-1	good
10009481	-1	good
10009516	-1	good
10009532	-1	bad
10009559	-1	good
10009592	1	good
10009624	-1	good
10009637	1	good
10009683	-1	good
10009715	-1	bad
10009744	0	good
10009759	-1	bad
10009768	-1	bad
10009778	-1	good
10009787	-1	good
10009831	-1	bad
10009848	-1	bad
10009852	0	good
10009860	-1	good
10009905	-1	bad
10009910	-1	bad
10009914	-1	bad
10009915	-1	good
10009937	-1	bad
10009950	-1	good
10009972	2	bad
10009994	1	good
10010004	-1	good
10010023	-1	bad
10010077	-1	good
10010092	1	bad
10010119	0	bad
10010124	1	bad
10010138	-1	good
10010139	-1	good
10010158	-1	good
10010179	0	good
10010182	-1	bad
10010185	-1	bad
10010192	-1	good
10010209	-1	bad
10010225	-1	good
10010250	-1	good
10010259	1	good
10010280	1	bad
10010293	-1	good
10010306	-1	good
10010312	-1	good
10010314	-1	bad
10010325	-1	bad
10010332	-1	bad
10010335	-1	good
10010366	-1	good
10010377	-1	good
10010381	1	bad
10010389	-1	bad
10010392	-1	good
10010491	1	bad
10010504	-1	good
10010557	-1	good
10010594	-1	bad
10010662	-1	good
10010682	-1	good
10010689	-1	good
10010694	-1	bad
10010696	1	good
10010737	-1	good
10010754	0	bad
10010758	-1	bad
10010765	-1	bad
10010777	-1	good
10010786	-1	bad
10010789	-1	good
10010790	-1	bad
10010820	1	bad
10010834	-1	good
10010888	-1	good
10010910	-1	good
10010913	-1	bad
10010943	1	good
10010959	-1	bad
10010970	-1	bad
10010999	-1	good
10011003	-1	good
10011041	-1	good
10011059	1	bad
10011064	-1	good
10011080	-1	bad
10011082	-1	good
10011087	-1	good
10011174	-1	good
10011209	1	good
10011230	-1	good
10011234	-1	bad
10011246	-1	bad
10011247	1	bad
