uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10021393	30	12821000	521	601	0	12841167	377	521	12563678	521	616376	60	127959	1404881	876612	0	30	1130731	0	759171	bad
10021395	30	12885000	522	604	0	12885333	204	522	12895644	522	618496	32	96324	1371921	851794	0	16	1160608	0	748132	bad
10021398	14	16128000	1930	756	0	16128000	230	1930	16132378	1930	774144	29	128000	1782822	884336	0	14	1451914	0	750502	bad
10021419	15	17093000	532	797	0	17005000	257	532	17093144	532	816240	30	96147	1814753	849354	0	15	1538383	0	748633	bad
10021421	29	16780000	523	786	0	16768000	241	523	16849400	523	804864	29	128281	1851520	882727	0	14	1516446	0	746040	good
10021422	15	16981000	934	796	0	16981333	254	934	16989489	934	815104	30	96132	1801158	848552	0	15	1529054	0	746890	bad
10021424	30	17518345	555	758	-20136	17487687	526	555	17518333	555	771207	60	85081	1547722	706789	-888	30	10511	-20136	617782	bad
10021436	30	17033000	713	791	0	16957292	511	713	17033011	713	813950	60	95878	1810308	850259	0	30	1532971	0	749667	bad
10021445	30	13738000	531	644	0	13761312	412	531	13728667	531	660543	60	95842	1499784	873363	0	30	1235580	0	771512	good
10021462	28	17032000	228	798	0	17242542	242	228	17032200	228	827642	28	94952	1811336	850791	0	14	1532898	0	749575	bad
10021464	30	17024000	521	798	0	17024000	510	521	17035100	521	817152	60	256026	2132974	1002337	0	30	1533159	0	741264	bad
10021465	30	14910000	539	695	0	14907500	451	539	14909911	539	715560	60	95886	1587020	851519	0	30	1341892	0	749849	good
10021469	30	15820000	528	685	-998	15788571	475	528	15820000	528	696276	60	81917	1426416	721322	-44	30	9492	-998	635367	bad
10021484	29	16576000	2115	777	0	16576000	236	2115	16588244	2115	795648	28	128037	1824792	880691	0	14	1492942	0	746683	bad
