[列]特征,实际/期望分区数,最小值,最大值,bad数量,good数量,合计,bad比例(%),bad WOE,bad IV
[10]streams-0-color_primaries,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",2443,4104,6547,65.48,37.31,0.1309137953794135,0.011441492783178301
"[1.0, 2.0]",987,2464,3451,34.52,28.6,-0.2652221742476503,0.023179662493159503
合计,3430,6568,9998,100.0,34.31,-0.13430837886823682,0.0346211552763378
#,#,#,#,#,#,#,#
[11]streams-1-time_base,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1107,2651,3758,37.59,29.46,-0.22363416260811,0.018088225442068173
"[2.0, 3.0]",2323,3917,6240,62.41,37.23,0.1271825100768564,0.01028691630888984
合计,3430,6568,9998,100.0,34.31,-0.0964516525312536,0.02837514175095801
#,#,#,#,#,#,#,#
[12]streams-0-width,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",3430,6567,9997,100.0,34.31,0.0,0.0
合计,3430,6567,9997,100.0,34.31,0.0,0.0
#,#,#,#,#,#,#,#
[13]streams-0-coded_width,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",3430,6567,9997,100.0,34.31,0.0,0.0
合计,3430,6567,9997,100.0,34.31,0.0,0.0
#,#,#,#,#,#,#,#
[14]streams-0-display_aspect_ratio,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1241,2902,4143,41.44,29.95,-0.19983353726724745,0.01599300577203562
"[2.0, 3.0]",2189,3666,5855,58.56,37.39,0.13399278009549126,0.010723661977781138
合计,3430,6568,9998,100.0,34.31,-0.06584075717175619,0.026716667749816757
#,#,#,#,#,#,#,#
[15]streams-0-side_data_list-0-rotation,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",27,38,65,0.65,41.54,0.30789981725022175,0.0006423076019916078
"[1.0, 2.0]",3403,6530,9933,99.35,34.26,-0.002100436797292473,4.3817061486186e-06
合计,3430,6568,9998,100.0,34.31,0.30579938045292926,0.0006466893081402263
#,#,#,#,#,#,#,#
规则如下,#,#,#,#,#,#
[12]streams-0-width,bad数量,good数量,合计,bad比例(%)
"[2.0, 3.0]",0,1,1,0.0
合计,0,1,1,0.0
#,#,#,#,#
[13]streams-0-coded_width,bad数量,good数量,合计,bad比例(%)
"[2.0, 3.0]",0,1,1,0.0
合计,0,1,1,0.0
#,#,#,#,#
